Module	Section	Sample Name	Source
FastQC	all_sections	pic_riri_MTR38785_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_riri_MTR38785_R1__fastqc.zip
FastQC	all_sections	ihe_cana_3436_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_cana_3436_R1__fastqc.zip
FastQC	all_sections	per_nova_MTR21282_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_nova_MTR21282_R1__fastqc.zip
FastQC	all_sections	ihe_juqi_H0189_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_juqi_H0189_R1__fastqc.zip
FastQC	all_sections	cat_val_PEU196_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_val_PEU196_R1__fastqc.zip
FastQC	all_sections	cat_bon_MTR16123_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_bon_MTR16123_R1__fastqc.zip
FastQC	all_sections	per_petr_MTR22755_concat_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_petr_MTR22755_concat_R1__fastqc.zip
FastQC	all_sections	per_petr_MTR22757_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_petr_MTR22757_R1__fastqc.zip
FastQC	all_sections	ihe_sete_3117_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_sete_3117_R1__fastqc.zip
FastQC	all_sections	per_pinh_IIH001_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_pinh_IIH001_R1__fastqc.zip
FastQC	all_sections	cat_taquara_MTR33065_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_taquara_MTR33065_R1__fastqc.zip
FastQC	all_sections	cat_bet_MTR33202_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_bet_MTR33202_R1__fastqc.zip
FastQC	all_sections	per_sber_UF5032_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_sber_UF5032_R1__fastqc.zip
FastQC	all_sections	per_bana_CTMZ03943_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_bana_CTMZ03943_R1__fastqc.zip
FastQC	all_sections	per_nova_MTR39299_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_nova_MTR39299_R1__fastqc.zip
FastQC	all_sections	ihe_sale_A1D1_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_sale_A1D1_R1__fastqc.zip
FastQC	all_sections	pic_barr_MTR34444_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_barr_MTR34444_R1__fastqc.zip
FastQC	all_sections	pic_pia_MTR20125_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_pia_MTR20125_R1__fastqc.zip
FastQC	all_sections	pic_barr_MTR33049_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_barr_MTR33049_R1__fastqc.zip
FastQC	all_sections	ihe_coti_3420_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_coti_3420_R1__fastqc.zip
FastQC	all_sections	per_itat_MTR26248_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_itat_MTR26248_R1__fastqc.zip
FastQC	all_sections	per_cris_CTMZ03587_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_cris_CTMZ03587_R1__fastqc.zip
FastQC	all_sections	per_bana_CTMZ03176_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_bana_CTMZ03176_R1__fastqc.zip
FastQC	all_sections	ihe_cana_3543_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_cana_3543_R1__fastqc.zip
FastQC	all_sections	ihe_camp_MTR11763_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_camp_MTR11763_R1__fastqc.zip
FastQC	all_sections	ihe_ribe_CTMZ10467_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_ribe_CTMZ10467_R1__fastqc.zip
FastQC	all_sections	ihe_crag_CTMZ03573_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_crag_CTMZ03573_R1__fastqc.zip
FastQC	all_sections	cat_ilh_ABA45_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_ilh_ABA45_R1__fastqc.zip
FastQC	all_sections	ihe_jacu_3593_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_jacu_3593_R1__fastqc.zip
FastQC	all_sections	pic_por_MTR34592_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_por_MTR34592_R1__fastqc.zip
FastQC	all_sections	per_alto_MTR10788_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_alto_MTR10788_R1__fastqc.zip
FastQC	all_sections	pic_peru_MTJ0048_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_peru_MTJ0048_R1__fastqc.zip
FastQC	all_sections	cat_mig_RPD188_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_mig_RPD188_R1__fastqc.zip
FastQC	all_sections	ihe_juqi_H0199_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_juqi_H0199_R1__fastqc.zip
FastQC	all_sections	cat_rem_RPD128_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_rem_RPD128_R1__fastqc.zip
FastQC	all_sections	ihe_jacu_3594_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_jacu_3594_R1__fastqc.zip
FastQC	all_sections	pic_peru_MTJ0047_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_peru_MTJ0047_R1__fastqc.zip
FastQC	all_sections	cat_bet_MTR33144_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_bet_MTR33144_R1__fastqc.zip
FastQC	all_sections	ihe_eldo_CTMZ03593_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_eldo_CTMZ03593_R1__fastqc.zip
FastQC	all_sections	alo_rosa_LG1370_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/alo_rosa_LG1370_R1__fastqc.zip
FastQC	all_sections	ihe_sale_A1_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_sale_A1_R1__fastqc.zip
FastQC	all_sections	cat_jeq_MTR17377_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_jeq_MTR17377_R1__fastqc.zip
FastQC	all_sections	cat_bon_RPD024_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_bon_RPD024_R1__fastqc.zip
FastQC	all_sections	ihe_parn_MTR14054_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_parn_MTR14054_R1__fastqc.zip
FastQC	all_sections	cat_lagjac_MTR33051_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_lagjac_MTR33051_R1__fastqc.zip
FastQC	all_sections	ihe_eldo_CTMZ03592_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_eldo_CTMZ03592_R1__fastqc.zip
FastQC	all_sections	ihe_juqi_H0160_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_juqi_H0160_R1__fastqc.zip
FastQC	all_sections	ihe_jacu_3588_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_jacu_3588_R1__fastqc.zip
FastQC	all_sections	pic_barr_MTR33050_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_barr_MTR33050_R1__fastqc.zip
FastQC	all_sections	ihe_jara_MTR21218_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_jara_MTR21218_R1__fastqc.zip
FastQC	all_sections	per_stbr_CX50_32_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_stbr_CX50_32_R1__fastqc.zip
FastQC	all_sections	pic_por_LG959_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_por_LG959_R1__fastqc.zip
FastQC	all_sections	cat_lon_MTR16340_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_lon_MTR16340_R1__fastqc.zip
FastQC	all_sections	pic_por_MTR34581_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_por_MTR34581_R1__fastqc.zip
FastQC	all_sections	cat_cam_PEU450_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_cam_PEU450_R1__fastqc.zip
FastQC	all_sections	pic_pinhe_MTR21516_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_pinhe_MTR21516_R1__fastqc.zip
FastQC	all_sections	ihe_embu_CTMZ03569_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_embu_CTMZ03569_R1__fastqc.zip
FastQC	all_sections	ihe_parn_MTR14053_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_parn_MTR14053_R1__fastqc.zip
FastQC	all_sections	pic_riri_MTR38682_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_riri_MTR38682_R1__fastqc.zip
FastQC	all_sections	agr_buri_ITH0620_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/agr_buri_ITH0620_R1__fastqc.zip
FastQC	all_sections	cat_una_RPD297_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_una_RPD297_R1__fastqc.zip
FastQC	all_sections	per_itam_MTR23721_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_itam_MTR23721_R1__fastqc.zip
FastQC	all_sections	pic_boanova_MTR21438_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_boanova_MTR21438_R1__fastqc.zip
FastQC	all_sections	ihe_juqi_CX87_15_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_juqi_CX87_15_R1__fastqc.zip
FastQC	all_sections	pic_pia_MTR20126_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_pia_MTR20126_R1__fastqc.zip
FastQC	all_sections	uva_sale_LG1399_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/uva_sale_LG1399_R1__fastqc.zip
FastQC	all_sections	ihe_pila_LG1383_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_pila_LG1383_R1__fastqc.zip
FastQC	all_sections	cat_fazpar_RPD015_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_fazpar_RPD015_R1__fastqc.zip
FastQC	all_sections	pic_conc_JFT935_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_conc_JFT935_R1__fastqc.zip
FastQC	all_sections	ihe_saop_CTMZ13588_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_saop_CTMZ13588_R1__fastqc.zip
FastQC	all_sections	per_wbra_IIH178_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_wbra_IIH178_R1__fastqc.zip
FastQC	all_sections	cat_lon_MTR16317_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_lon_MTR16317_R1__fastqc.zip
FastQC	all_sections	cat_itp_MTR33052_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_itp_MTR33052_R1__fastqc.zip
FastQC	all_sections	per_parn_MTR14061_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_parn_MTR14061_R1__fastqc.zip
FastQC	all_sections	cat_wgu_MTR22253_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_wgu_MTR22253_R1__fastqc.zip
FastQC	all_sections	per_divi_MTR15785_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_divi_MTR15785_R1__fastqc.zip
FastQC	all_sections	pic_leme_JC1079_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_leme_JC1079_R1__fastqc.zip
FastQC	all_sections	cat_cond_MTR35190_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_cond_MTR35190_R1__fastqc.zip
FastQC	all_sections	pic_pinhe_MTR21541_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_pinhe_MTR21541_R1__fastqc.zip
FastQC	all_sections	per_cunh_3317_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_cunh_3317_R1__fastqc.zip
FastQC	all_sections	ihe_apia_CTMZ11219_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_apia_CTMZ11219_R1__fastqc.zip
FastQC	all_sections	ihe_biri_MRT9425_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_biri_MRT9425_R1__fastqc.zip
FastQC	all_sections	cat_catu_FRAG15P94_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_catu_FRAG15P94_R1__fastqc.zip
FastQC	all_sections	per_wbra_IIH177_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_wbra_IIH177_R1__fastqc.zip
FastQC	all_sections	ihe_ipor_CTMZ11223_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_ipor_CTMZ11223_R1__fastqc.zip
FastQC	all_sections	cat_wgu_MTR22254_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_wgu_MTR22254_R1__fastqc.zip
FastQC	all_sections	per_petr_MTR22695_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_petr_MTR22695_R1__fastqc.zip
FastQC	all_sections	cat_jeq_MTR17172_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_jeq_MTR17172_R1__fastqc.zip
FastQC	all_sections	ihe_peru_LG929_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_peru_LG929_R1__fastqc.zip
FastQC	all_sections	per_buri_H0310_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_buri_H0310_R1__fastqc.zip
FastQC	all_sections	cat_oli_MD1779_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_oli_MD1779_R1__fastqc.zip
FastQC	all_sections	cat_taquara_MTR33145_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_taquara_MTR33145_R1__fastqc.zip
FastQC	all_sections	cat_jibo_LG1377_concat_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/cat_jibo_LG1377_concat_R1__fastqc.zip
FastQC	all_sections	per_buri_H0318_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_buri_H0318_R1__fastqc.zip
FastQC	all_sections	per_itam_MTR23815_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_itam_MTR23815_R1__fastqc.zip
FastQC	all_sections	per_orti_IIH129_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_orti_IIH129_R1__fastqc.zip
FastQC	all_sections	ihe_biri_MRT9424_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/ihe_biri_MRT9424_R1__fastqc.zip
FastQC	all_sections	pic_lin_MTR12080_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_lin_MTR12080_R1__fastqc.zip
FastQC	all_sections	per_parn_MTR14060_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/per_parn_MTR14060_R1__fastqc.zip
FastQC	all_sections	pic_barr_MTR34564_R1	/Users/connorfrench/Dropbox/Old_Mac/School_Stuff/CUNY/enyalius-phylogeography/enyalius/assembly/fastq/pic_barr_MTR34564_R1__fastqc.zip
